2020-05-25
+-----------------------------------------+--------+
|                   Card                  | Price  |
+-----------------------------------------+--------+
|        Blue-Eyes White Dragon DDS       | 999.99 |
|         scapegoat ultra rp01 ita        | 610.98 |
|            Dark Magician DDS            | 466.66 |
|           maxx c ultimate spa           | 275.31 |
|      cyber dark dragon Ultimate ger     | 269.99 |
|     rampart blaster Ultimate 1st ger    | 237.47 |
|         tempest Ultimate 1st ger        | 218.49 |
|          Dark Paladin 1st Ultra         | 181.6  |
|      cyber end dragon Ultimate ita      | 164.99 |
|        Dark Armed Dragon Ultimate       | 162.85 |
|          dark neos Ultimate ger         | 144.99 |
|  Trishula, Dragon of the Ice Barrier DT | 140.26 |
|         tour guide ultimate ita         | 130.92 |
|        night assailant super ita        | 128.88 |
|         Judgment Dragon Ultimate        | 126.57 |
|    Pot of Avarice Ultimate 1st german   | 115.0  |
|      Dark Magician Girl Secret 1st      | 113.24 |
|      Dark Magician Girl Secret UNL      | 113.24 |
|    Lumina, Lightsworn Summoner Super    | 109.66 |
|         power bond Ultimate ger         | 108.72 |
|  shining phnx enforcer Ultimate 1st ita | 100.0  |
|       flare neos Ultimate 1st ger       | 99.99  |
|        air neos Ultimate 1st ger        | 96.31  |
|            sangan super rp01            | 92.66  |
|           foolish burial super          | 89.54  |
|      phnx enforcer Ultimate 1st ita     | 88.74  |
|            trishula ultimate            | 87.88  |
|       Red Eyes Black Metal Dragon       | 78.78  |
|           trap dustshoot super          | 74.97  |
|        Effect Veiler Ultimate 1st       | 74.64  |
|   allure of darkness Ultimate 1st ita   | 73.61  |
|      cyberdark edge Ultimate german     | 72.49  |
|         chimeratech Ultimate ger        | 72.39  |
|    Winged kuribo ultimate 1st german    | 69.99  |
|          lonefire blossom super         | 68.26  |
|      thunder giant Ultimate 1st it      | 67.77  |
|           dd crow Ultimate 1st          | 65.54  |
|               MST ultimate              | 60.88  |
|      Red Eyes Black Dragon BPT 2002     | 60.78  |
|    shining flame wingman Ultimate ger   |  60.0  |
|          Dark Magician BPT 2002         | 57.65  |
|            tk raioh Ultimate            | 53.02  |
|        solem warning ultimate 1st       |  52.0  |
|            Tsukuyomi Ultimate           | 50.94  |
|        Slifer The Sky Dragon YMA        | 48.38  |
|           glowup bulb Ultimate          | 48.18  |
|            EHERO Spark secret           | 48.01  |
|     miracle fusion Ultimate 1st ger     | 45.88  |
|      caius shadow monarch Ultimate      | 45.37  |
|    Chaos Emperor Dragon Ultimate 1st    | 44.75  |
|               honest ghost              | 44.47  |
|      bladeedge ultimate 1st italian     | 42.22  |
|       light neos Ultimate 1st ita       | 41.31  |
|         Dark Magician Girl LCYW         | 40.07  |
|        wild wingman Ultimate 1st        | 40.03  |
|           EHERO clayman secret          | 39.64  |
|   lightning vortex Ultimate 1st french  | 39.57  |
|         The Winged Dragon of Ra         | 39.55  |
|           doom lord rare dr04           | 38.61  |
|   cyber twin dragon Ultimate 1st germ   | 38.49  |
|            EHERO Avian secret           | 37.96  |
|        red nova drag Ultimate 1st       | 36.97  |
|   Chaos Emperor Dragon EOTE Secret unl  | 34.65  |
|     Chaos Emperor Dragon Secret 1st     | 34.65  |
|     shooting star drag Ultimate 1st     | 34.11  |
|       grand neos Ultimate 1st ger       | 33.75  |
|        machine dupe Ultimate 1st        | 33.65  |
|     Blue Eyes White Dragon BPT 2002     | 33.52  |
|         Stardust Dragon Ultimate        | 33.51  |
|            tragoedia ultimate           | 32.32  |
|       overload fusion Ultimate ger      | 32.08  |
|        black rose dragon ultimate       | 32.06  |
|        Pot of Greed Ultimate 1st        | 32.01  |
|   EHERO bubbleman ultimate 1st german   | 31.75  |
|            dandylion Ultimate           | 31.58  |
|         Gate Guardian Secret 1st        | 30.05  |
|        flame wingman Ultimate 1st       |  30.0  |
|         e-tele Ultimate 1st ger         |  27.7  |
|       Harpie's Feather Duster SDD       | 26.98  |
|    charge of the light brigade secret   | 26.94  |
|               Jinzo Secret              | 25.85  |
|                brionac DT               | 25.59  |
|         Summoned Skull BPT 2002         | 25.11  |
|         B Skull Dragon BPT 2002         | 24.63  |
|          debris dragon Ultimate         | 24.58  |
|         Book of Moon TU07 Ultra         | 23.27  |
|            Yata-Garasu Secret           | 23.16  |
|      brain control Ultimate 1st ger     | 22.95  |
|         dark grepher secret 1st         | 21.95  |
|       cyberdark horn Ultimate 1st       |  21.9  |
|    monster reincarnation Ultimate 1st   | 21.35  |
|  plaguespreader zombie Ultimate 1st ita | 20.38  |
|        colossal fighter Ultimate        | 20.07  |
|            catastor ultimate            | 19.56  |
|        neos air bird ultimate 1st       | 19.45  |
|   Black Luster Soldier EOTB Ultra 1st   |  18.0  |
|     phoenix wing windblast Ultimate     | 17.84  |
|      powertool dragon Ultimate 1st      | 17.49  |
|        cybedark keel Ultimate 1st       | 17.39  |
|      red dragon archfiend Ultimate      | 17.11  |
|      ancient fairy dragon Ultimate      | 17.07  |
|          B. Skull Dragon Ultra          | 16.96  |
|      crush card virus Ultimate 1st      | 16.82  |
|            Time Wizard Ultra            | 16.64  |
|          aqua neos Ultimate 1st         | 15.26  |
|         solar recharge Ultimate         | 15.07  |
|        cyber phoenix Ultimate 1st       | 14.39  |
|  neos flare scarab ultimate 1st german  | 14.32  |
|          Cyber Jar Ultimate 1st         | 14.14  |
|           Summoned Skull Ultra          | 13.74  |
|       Injection Fairy Lily Secret       | 13.67  |
|      diamond dude ultimate 1st ger      | 12.52  |
|         Tri Horned Dragon Secret        | 12.45  |
|   neos grand mole ultimate 1st german   | 12.32  |
|          Delinquent Duo MRL 1st         |  11.9  |
|       skyscraper Ultimate 1st ger       | 11.56  |
|      scrap dragon Ultimate 1st ger      | 10.41  |
|        neo space ultimate 1st ger       | 10.32  |
|      skyscraper 2 Ultimate 1st ger      |  9.49  |
|          Buster Blade Ultra 1st         |  7.43  |
|     trascend wings Ultimate 1st ger     |  7.2   |
|        goyo guardian Ultimate 1st       |  6.56  |
|       5th hope ultimate 1st german      |  5.47  |
|         hero flash ultimate 1st         |  5.2   |
| thoughtruler archfiend Ultimate 1st fre |  5.18  |
|      hero barrier Ultimate 1st ger      |  4.84  |
|       hero signal Ultimate 1st ger      |  4.76  |
|    Wroguthweiler ultimate 1st gewrman   |  4.48  |
|     Serpent Night Dragon Secret 1st     |  3.65  |
|     neos dolphin ultimate 1st german    |  3.63  |
|         mirror gate Ultimate 1st        |  1.42  |
|  neos dark panther ultimate 1st german  |  0.3   |
|                   test                  |   0    |
+-----------------------------------------+--------+
2020-05-26
+----------------------+--------+
|         Card         | Price  |
+----------------------+--------+
|    Stardust Ghost    | 141.64 |
|     Trishula DT      | 140.26 |
|    Pot of Avarice    | 115.0  |
|   Black Rose Ghost   | 113.79 |
| Bottomless Trap Hole | 85.58  |
|    Effect Veiler     | 75.54  |
|    Solemn Warning    |  52.0  |
|        Maxx c        | 38.59  |
|   Smashing Ground    |  33.8  |
|      Tour guide      |  26.8  |
|      Brionac DT      | 25.59  |
|       Leviair        | 25.02  |
|     Book of Moon     | 23.27  |
|     Catastor UTR     | 19.56  |
